bot_id,name,description,total_trades,wins,losses,win_rate,initial_bankroll,final_bankroll,total_profit,roi,total_wagered,total_fees,max_win_streak,max_loss_streak
s1_fixed_min_2,Fixed Minute 2,Only bets at minute 2 (12 min left). Persistence: 62.6%,17,11,6,64.70588235294117,1000,1041.2033700000004,41.203370000000405,4.12033700000004,170,5.7966299999999995,5,2
s1_fixed_min_1,Fixed Minute 1,Only bets at minute 1 (13 min left). Persistence: 58.7%,18,11,7,61.111111111111114,1000,1022.9363619999999,22.936361999999917,2.293636199999992,180,6.063637999999999,4,3
s3_sentiment_always_favorite,Always Favorite,Always bets the favored side regardless of time or odds,23,15,8,65.21739130434783,1000,1014.6977250000001,14.697725000000105,1.4697725000000104,230,6.302275000000002,5,4
s2_dynamic_wait2_edge25,"Dynamic Wait 2m, Edge 25%","Waits 2 min, then enters when edge >= 25%",11,6,5,54.54545454545454,1000,1013.944872,13.944872000000032,1.3944872000000033,110,4.055128,2,3
s2_dynamic_wait3_edge25,"Dynamic Wait 3m, Edge 25%","Waits 3 min, then enters when edge >= 25%",11,6,5,54.54545454545454,1000,1013.944872,13.944872000000032,1.3944872000000033,110,4.055128,2,3
s3_sentiment_odds60_wait0,Sentiment 60c (Wait 0m),"Bets WITH the favorite when YES/NO hits 60c, after 0 min",23,16,7,69.56521739130434,1000,1012.3486549999998,12.34865499999978,1.234865499999978,230,5.651345,5,3
s3_sentiment_odds55_wait0,Sentiment 55c (Wait 0m),"Bets WITH the favorite when YES/NO hits 55c, after 0 min",23,15,8,65.21739130434783,1000,1006.9066609999999,6.906660999999872,0.6906660999999872,230,6.093339000000002,5,3
s3_sentiment_odds60_wait1,Sentiment 60c (Wait 1m),"Bets WITH the favorite when YES/NO hits 60c, after 1 min",23,16,7,69.56521739130434,1000,1001.5334129999995,1.5334129999995412,0.1533412999999541,230,5.466587,5,3
s2_dynamic_wait2_edge20,"Dynamic Wait 2m, Edge 20%","Waits 2 min, then enters when edge >= 20%",13,6,7,46.15384615384615,1000,996.2428629999999,-3.757137000000057,-0.3757137000000057,130,4.757137000000001,3,3
s2_dynamic_wait3_edge20,"Dynamic Wait 3m, Edge 20%","Waits 3 min, then enters when edge >= 20%",13,6,7,46.15384615384615,1000,996.2428629999999,-3.757137000000057,-0.3757137000000057,130,4.757137000000001,3,3
s1_fixed_min_4,Fixed Minute 4,Only bets at minute 4 (10 min left). Persistence: 68.1%,11,6,5,54.54545454545454,1000,993.6692249999999,-6.330775000000131,-0.6330775000000131,110,3.330775000000001,2,2
s1_fixed_min_11,Fixed Minute 11,Only bets at minute 11 (3 min left). Persistence: 87.0%,11,7,4,63.63636363636363,1000,991.8373920000001,-8.162607999999864,-0.8162607999999862,110,2.162608,3,2
s1_fixed_min_10,Fixed Minute 10,Only bets at minute 10 (4 min left). Persistence: 84.1%,9,6,3,66.66666666666666,1000,990.012763,-9.98723700000005,-0.998723700000005,90,1.987237,3,1
s3_sentiment_odds95_wait10,Sentiment 95c (Wait 10m),"Bets WITH the favorite when YES/NO hits 95c, after 10 min",21,20,1,95.23809523809523,1000,989.5291800000001,-10.47081999999989,-1.047081999999989,210,0.47082000000000035,19,1
s3_sentiment_odds95_wait7,Sentiment 95c (Wait 7m),"Bets WITH the favorite when YES/NO hits 95c, after 7 min",22,21,1,95.45454545454545,1000,989.3848400000004,-10.615159999999605,-1.0615159999999604,220,0.6151600000000005,20,1
s2_dynamic_wait4_edge25,"Dynamic Wait 4m, Edge 25%","Waits 4 min, then enters when edge >= 25%",11,5,6,45.45454545454545,1000,989.093944,-10.906056000000035,-1.0906056000000035,110,3.9060560000000004,2,3
s1_fixed_min_12,Fixed Minute 12,Only bets at minute 12 (2 min left). Persistence: 89.9%,8,4,4,50.0,1000,987.0269099999999,-12.97309000000007,-1.2973090000000072,80,1.9730900000000002,2,2
s1_fixed_min_13,Fixed Minute 13,Only bets at minute 13 (1 min left). Persistence: 93.2%,8,5,3,62.5,1000,983.604228,-16.395771999999965,-1.6395771999999964,80,1.3957720000000005,2,1
s3_sentiment_odds90_wait5,Sentiment 90c (Wait 5m),"Bets WITH the favorite when YES/NO hits 90c, after 5 min",23,20,3,86.95652173913044,1000,979.7679300000001,-20.232069999999908,-2.023206999999991,230,1.2320699999999998,13,1
s3_sentiment_odds90_wait0,Sentiment 90c (Wait 0m),"Bets WITH the favorite when YES/NO hits 90c, after 0 min",23,20,3,86.95652173913044,1000,979.71977,-20.28022999999996,-2.028022999999996,230,1.2802299999999998,13,1
s3_sentiment_odds90_wait1,Sentiment 90c (Wait 1m),"Bets WITH the favorite when YES/NO hits 90c, after 1 min",23,20,3,86.95652173913044,1000,979.71977,-20.28022999999996,-2.028022999999996,230,1.2802299999999998,13,1
s3_sentiment_odds90_wait2,Sentiment 90c (Wait 2m),"Bets WITH the favorite when YES/NO hits 90c, after 2 min",23,20,3,86.95652173913044,1000,979.71977,-20.28022999999996,-2.028022999999996,230,1.2802299999999998,13,1
s3_sentiment_odds90_wait3,Sentiment 90c (Wait 3m),"Bets WITH the favorite when YES/NO hits 90c, after 3 min",23,20,3,86.95652173913044,1000,979.71977,-20.28022999999996,-2.028022999999996,230,1.2802299999999998,13,1
s2_dynamic_wait2_edge30,"Dynamic Wait 2m, Edge 30%","Waits 2 min, then enters when edge >= 30%",9,3,6,33.33333333333333,1000,979.4191219999998,-20.58087800000021,-2.0580878000000213,90,3.580878,1,3
s2_dynamic_wait3_edge30,"Dynamic Wait 3m, Edge 30%","Waits 3 min, then enters when edge >= 30%",9,3,6,33.33333333333333,1000,979.4191219999998,-20.58087800000021,-2.0580878000000213,90,3.580878,1,3
s2_dynamic_wait4_edge30,"Dynamic Wait 4m, Edge 30%","Waits 4 min, then enters when edge >= 30%",9,3,6,33.33333333333333,1000,979.4191219999998,-20.58087800000021,-2.0580878000000213,90,3.580878,1,3
s3_sentiment_odds95_wait0,Sentiment 95c (Wait 0m),"Bets WITH the favorite when YES/NO hits 95c, after 0 min",22,20,2,90.9090909090909,1000,979.3984200000004,-20.601579999999558,-2.0601579999999555,220,0.6015800000000006,14,1
s3_sentiment_odds95_wait1,Sentiment 95c (Wait 1m),"Bets WITH the favorite when YES/NO hits 95c, after 1 min",22,20,2,90.9090909090909,1000,979.3984200000004,-20.601579999999558,-2.0601579999999555,220,0.6015800000000006,14,1
s3_sentiment_odds95_wait2,Sentiment 95c (Wait 2m),"Bets WITH the favorite when YES/NO hits 95c, after 2 min",22,20,2,90.9090909090909,1000,979.3984200000004,-20.601579999999558,-2.0601579999999555,220,0.6015800000000006,14,1
s3_sentiment_odds95_wait3,Sentiment 95c (Wait 3m),"Bets WITH the favorite when YES/NO hits 95c, after 3 min",22,20,2,90.9090909090909,1000,979.3984200000004,-20.601579999999558,-2.0601579999999555,220,0.6015800000000006,14,1
s3_sentiment_odds95_wait5,Sentiment 95c (Wait 5m),"Bets WITH the favorite when YES/NO hits 95c, after 5 min",22,20,2,90.9090909090909,1000,979.3721000000005,-20.6278999999995,-2.06278999999995,220,0.6279000000000006,14,1
s1_fixed_min_9,Fixed Minute 9,Only bets at minute 9 (5 min left). Persistence: 81.4%,9,5,4,55.55555555555556,1000,978.758551,-21.24144899999999,-2.124144899999999,90,2.2414490000000002,3,3
s3_sentiment_odds65_wait0,Sentiment 65c (Wait 0m),"Bets WITH the favorite when YES/NO hits 65c, after 0 min",23,15,8,65.21739130434783,1000,977.1330750000002,-22.86692499999981,-2.286692499999981,230,4.866925000000001,5,3
s3_sentiment_odds55_wait1,Sentiment 55c (Wait 1m),"Bets WITH the favorite when YES/NO hits 55c, after 1 min",23,14,9,60.86956521739131,1000,977.0249399999997,-22.975060000000326,-2.2975060000000322,230,5.975059999999999,5,3
s3_sentiment_odds90_wait7,Sentiment 90c (Wait 7m),"Bets WITH the favorite when YES/NO hits 90c, after 7 min",23,20,3,86.95652173913044,1000,975.83835,-24.16165000000001,-2.4161650000000012,230,1.1616499999999998,13,1
s2_dynamic_wait5_edge25,"Dynamic Wait 5m, Edge 25%","Waits 5 min, then enters when edge >= 25%",10,4,6,40.0,1000,974.510269,-25.489731000000006,-2.5489731000000004,100,3.489731000000001,2,4
s1_fixed_min_7,Fixed Minute 7,Only bets at minute 7 (7 min left). Persistence: 76.7%,9,4,5,44.44444444444444,1000,973.648105,-26.351895000000013,-2.6351895000000014,90,2.3518950000000003,2,3
s3_sentiment_odds55_wait2,Sentiment 55c (Wait 2m),"Bets WITH the favorite when YES/NO hits 55c, after 2 min",23,14,9,60.86956521739131,1000,973.4472079999994,-26.552792000000636,-2.655279200000064,230,5.552792,5,2
s2_dynamic_wait2_edge40,"Dynamic Wait 2m, Edge 40%","Waits 2 min, then enters when edge >= 40%",7,2,5,28.57142857142857,1000,972.9635189999998,-27.036481000000208,-2.703648100000021,70,3.036481,2,5
s2_dynamic_wait3_edge40,"Dynamic Wait 3m, Edge 40%","Waits 3 min, then enters when edge >= 40%",7,2,5,28.57142857142857,1000,972.9635189999998,-27.036481000000208,-2.703648100000021,70,3.036481,2,5
s2_dynamic_wait4_edge40,"Dynamic Wait 4m, Edge 40%","Waits 4 min, then enters when edge >= 40%",7,2,5,28.57142857142857,1000,972.9635189999998,-27.036481000000208,-2.703648100000021,70,3.036481,2,5
s2_dynamic_wait5_edge40,"Dynamic Wait 5m, Edge 40%","Waits 5 min, then enters when edge >= 40%",7,2,5,28.57142857142857,1000,972.9635189999998,-27.036481000000208,-2.703648100000021,70,3.036481,2,5
s3_sentiment_odds55_wait10,Sentiment 55c (Wait 10m),"Bets WITH the favorite when YES/NO hits 55c, after 10 min",22,17,5,77.27272727272727,1000,972.8702220000001,-27.129777999999874,-2.7129777999999876,220,2.1297780000000004,5,1
s3_sentiment_odds90_wait10,Sentiment 90c (Wait 10m),"Bets WITH the favorite when YES/NO hits 90c, after 10 min",22,19,3,86.36363636363636,1000,972.1903100000001,-27.809689999999932,-2.780968999999993,220,0.8096900000000004,12,1
s2_dynamic_wait4_edge20,"Dynamic Wait 4m, Edge 20%","Waits 4 min, then enters when edge >= 20%",13,5,8,38.46153846153847,1000,971.391935,-28.60806500000001,-2.8608065000000007,130,4.608065000000001,2,4
s3_sentiment_odds60_wait3,Sentiment 60c (Wait 3m),"Bets WITH the favorite when YES/NO hits 60c, after 3 min",23,15,8,65.21739130434783,1000,971.1288049999996,-28.871195000000398,-2.88711950000004,230,4.871195,5,4
s3_sentiment_odds60_wait10,Sentiment 60c (Wait 10m),"Bets WITH the favorite when YES/NO hits 60c, after 10 min",22,17,5,77.27272727272727,1000,971.0177050000001,-28.982294999999908,-2.898229499999991,220,1.982295,5,1
s3_sentiment_odds85_wait7,Sentiment 85c (Wait 7m),"Bets WITH the favorite when YES/NO hits 85c, after 7 min",23,19,4,82.6086956521739,1000,969.4129460000001,-30.587053999999853,-3.0587053999999854,230,1.5870540000000002,8,1
s3_sentiment_odds65_wait10,Sentiment 65c (Wait 10m),"Bets WITH the favorite when YES/NO hits 65c, after 10 min",22,17,5,77.27272727272727,1000,969.0683290000001,-30.931670999999938,-3.093167099999994,220,1.9316710000000001,5,1
s3_sentiment_odds70_wait10,Sentiment 70c (Wait 10m),"Bets WITH the favorite when YES/NO hits 70c, after 10 min",22,17,5,77.27272727272727,1000,968.1096150000002,-31.89038499999981,-3.1890384999999815,220,1.890385,5,1
s3_sentiment_odds60_wait2,Sentiment 60c (Wait 2m),"Bets WITH the favorite when YES/NO hits 60c, after 2 min",23,14,9,60.86956521739131,1000,967.6883929999993,-32.31160700000066,-3.2311607000000664,230,5.3116069999999995,5,4
s3_sentiment_odds75_wait0,Sentiment 75c (Wait 0m),"Bets WITH the favorite when YES/NO hits 75c, after 0 min",23,16,7,69.56521739130434,1000,967.5800660000003,-32.41993399999967,-3.2419933999999673,230,3.4199340000000005,5,3
s3_sentiment_odds70_wait0,Sentiment 70c (Wait 0m),"Bets WITH the favorite when YES/NO hits 70c, after 0 min",23,15,8,65.21739130434783,1000,965.8481320000006,-34.151867999999354,-3.4151867999999355,230,4.151868,5,3
